time,time-dur,lat,lon,dep,strike,dip,rake,Mo(Nm),slip_all,x,y,xinc,yinc,segnum,subnum,parnum,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,up_middle_lon,up_middle_lat,down_middle_lon,down_middle_lat,xx,xy,xz,yy,yz,zz
11.244000000000002,8.0,32.946,130.934,21.849,234.643,67.485,0.0,0.0,0.0,-26.081999999999997,-10.482000000000001,4.23,3.55,1.0,14.0,209.0,130.91134858334468,32.93996129794541,130.94824323664557,32.96203245913703,130.95665345069358,32.952035831377394,130.91976294918126,32.92996463481964,130.9382059088635,32.94100160422107,130.92979361778848,32.950998250182906,4332314.263412194,-411631.3747854772,3732328.000027531,5399807.315059685,283983.6905114841,11643621.538308304
9.774,8.0,32.87,130.966,1.703,228.187,66.959,-144.482,2.758e+18,6.91,-21.671999999999997,11.284,4.32,3.7,1.0,15.0,225.0,130.94364162972434,32.861879769935044,130.97804678076142,32.88784994881382,130.9883609420647,32.878117641491976,130.95395954933173,32.852147422148306,130.97115773909323,32.865133727768644,130.96084169743105,32.87486605576321,9902623.258086339,36118.63960809479,1518247.0528507335,9436843.852466956,-890694.045041987,10930658.14111939
9.189,8.0,32.879,130.955,4.7010000000000005,230.168,64.218,-145.666,2.604e+18,5.2989999999999995,-21.701999999999998,7.534,4.29,3.89,1.0,16.0,241.0,130.9316084431424,32.87246756145131,130.966814672236,32.897245299853786,130.978393376782,32.885529686582444,130.94319177876898,32.86075190169888,130.96079012988122,32.8731420446842,130.94920910837618,32.884857681750695,8471637.467312893,-64850.59222711989,2995229.044243382,9324509.364329975,417634.27727071254,11342660.489521375
8.82,8.0,32.889,130.942,8.717,232.546,69.327,-163.746,1.456e+18,2.9730000000000003,-21.741,3.679,4.27,3.9,1.0,17.0,257.0,130.91941383199622,32.882219209840194,130.95564221941842,32.90563337064296,130.9645884314215,32.895777999281194,130.92836405442972,32.87236380152371,130.9464738615372,32.88407222285671,130.93752564315795,32.89392761318957,7125780.464776527,-112996.96505091619,3895351.191717362,8256456.105017625,623629.6525903171,11358082.641625881
8.714,8.0,32.898,130.931,12.0,234.516,66.893,-161.751,9.988e+17,2.029,-21.785,0.0,4.26,3.57,1.0,18.0,273.0,130.9081169272483,32.89199334058629,130.94519475097962,32.9142905899564,130.95388507220392,32.904003754280076,130.91681153409522,32.88170646817216,130.9353459814154,32.892856495055376,130.92665351619837,32.90314334964016,6271063.4930743035,-172424.9503894225,4172152.278044593,7386213.771393664,590398.2381046154,11070697.937237957
8.835,8.0,32.907,130.91899999999998,15.283,234.718,66.815,-167.36700000000002,1.287e+18,2.182,-21.811,-3.487,4.24,3.57,1.0,19.0,289.0,130.89616308785506,32.90112998416562,130.93316311229452,32.923212626847636,130.941838848192,32.91286712258438,130.90484312625773,32.890784443305435,130.92333869187314,32.90182716101478,130.91466080354843,32.912172684116825,5566887.336518974,-236299.81657311379,4224229.895872932,6604556.393277306,517843.0452892707,10661230.45996119
9.165,8.0,32.915,130.908,18.566,234.332,66.884,177.733,1.115e+18,1.8940000000000001,-21.826,-6.968999999999999,4.24,3.57,1.0,20.0,305.0,130.8852207705418,32.90898587283627,130.92204687894196,32.93127823997909,130.93078121474952,32.92101125691117,130.8939593574355,32.898718853099645,130.91236797911935,32.909866420601844,130.90363151659713,32.92013342253536,4961141.8807667075,-286772.8828406401,4153918.8350439705,5909272.42311534,422304.4860117047,10323571.000555163
9.682,8.0,32.924,130.89600000000002,21.849,234.332,66.884,0.0,0.0,0.0,-21.833000000000002,-10.452,4.25,3.57,1.0,21.0,321.0,130.8731750446694,32.91795958643251,130.91009174415314,32.94030449768581,130.91882695829514,32.93003752947135,130.8819145218205,32.907692581457724,130.90036842115808,32.918866427977946,130.89163107433393,32.92913341510642,4428233.379325721,-321899.3471761702,4029205.4546873798,5247244.160605828,323148.74814049574,9985930.120337212
8.293,8.0,32.845,130.931,1.703,233.862,65.134,-144.903,3.634e+18,9.113,-17.410999999999998,11.255,4.25,3.75,1.0,22.0,337.0,130.90770239752857,32.839440091227445,130.9443682065282,32.862039916314885,130.9542992482331,32.85055702142148,130.9176381603419,32.82795715480305,130.93596638201117,32.83925844068053,130.92603297843263,32.85074135692849,9035951.275083737,-72732.00775569405,2346268.785800677,6755610.807961999,-1078664.3890297776,7485824.947537122
7.599,8.0,32.855,130.91899999999998,4.7010000000000005,234.52599999999998,62.248999999999995,-143.711,3.484e+18,7.051,-17.449,7.513999999999999,4.24,3.96,1.0,23.0,353.0,130.89484041090606,32.85067493492277,130.9317316067025,32.87286221560899,130.9431605100691,32.85932208221196,130.9062749175065,32.837134753440516,130.92471541915017,32.848229786708174,130.91328371262935,32.86176994485086,7864098.8215807285,-143007.89256732093,3358121.565048713,7560938.863791065,-610704.1272998629,7724222.995186703
