time,time-dur,lat,lon,dep,strike,dip,rake,Mo(Nm),slip_all,x,y,xinc,yinc,segnum,subnum,parnum,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,up_middle_lon,up_middle_lat,down_middle_lon,down_middle_lat
8.835,8.0,32.907,130.919,15.283,234.718,66.815,-167.367,1.287e+18,2.182,-21.811,-3.487,4.24,3.57,1.0,19.0,289.0,130.89616308785506,32.90112998416562,130.93316311229452,32.923212626847636,130.941838848192,32.91286712258438,130.90484312625773,32.890784443305435,130.92333869187314,32.90182716101478,130.91466080354843,32.912172684116825
9.165,8.0,32.915,130.908,18.566,234.332,66.884,177.733,1.115e+18,1.894,-21.826,-6.969,4.24,3.57,1.0,20.0,305.0,130.8852207705418,32.90898587283627,130.92204687894196,32.93127823997909,130.93078121474952,32.92101125691117,130.89395935743548,32.89871885309964,130.91236797911935,32.909866420601844,130.90363151659713,32.92013342253536
9.682,8.0,32.924,130.896,21.849,234.332,66.884,0.0,0.0,0.0,-21.833,-10.452,4.25,3.57,1.0,21.0,321.0,130.8731750446694,32.91795958643251,130.91009174415314,32.940304497685815,130.91882695829514,32.93003752947135,130.88191452182053,32.907692581457724,130.90036842115808,32.91886642797794,130.8916310743339,32.92913341510642
8.293,8.0,32.845,130.931,1.703,233.862,65.134,-144.903,3.634e+18,9.113,-17.411,11.255,4.25,3.75,1.0,22.0,337.0,130.90770239752857,32.839440091227445,130.9443682065282,32.862039916314885,130.9542992482331,32.85055702142148,130.9176381603419,32.82795715480305,130.93596638201115,32.83925844068053,130.92603297843263,32.850741356928495
7.599,8.0,32.855,130.919,4.701,234.526,62.249,-143.711,3.484e+18,7.051,-17.449,7.514,4.24,3.96,1.0,23.0,353.0,130.89484041090603,32.85067493492277,130.9317316067025,32.87286221560899,130.9431605100691,32.85932208221196,130.90627491750647,32.83713475344051,130.92471541915015,32.848229786708174,130.91328371262935,32.86176994485086
7.15,8.0,32.867,130.905,8.717,235.327,67.698,-140.722,1.828e+18,3.724,-17.495,3.668,4.23,3.94,1.0,24.0,369.0,130.88187198886757,32.86169315569015,130.91904371867713,32.88339167399941,130.92812965888322,32.87230391387781,130.89096255454217,32.850605357052544,130.9095438443486,32.86145602502909,130.90045559016724,32.87254380499312
7.017,8.0,32.876,130.893,12.0,235.978,67.391,-125.922,1.085e+18,2.228,-17.542,0.0,4.23,3.56,1.0,25.0,385.0,130.8701782050739,32.8704422877159,130.9076432877831,32.891782975238925,130.9158236621016,32.88155476848609,130.87836288146238,32.86021404601389,130.89709102833345,32.87088581861037,130.88890850184478,32.881114043385374
7.163,8.0,32.885,130.882,15.283,234.911,67.974,-139.465,1.015e+18,1.738,-17.569,-3.47,4.24,3.54,1.0,26.0,401.0,130.85938483961831,32.87890744984019,130.89646355794227,32.900884918047375,130.90461724819332,32.891089663377,130.86754260876734,32.869112160696396,130.88607764109614,32.88010229538884,130.87792191028774,32.889897567809676
7.56,8.0,32.893,130.871,18.566,233.287,67.926,-170.209,7.468e+17,1.275,-17.583,-6.935,4.25,3.54,1.0,27.0,417.0,130.84854496795614,32.88635212517249,130.88495947268217,32.9092612270734,130.8934572918592,32.89964507266948,130.85704672093115,32.876735935486394,130.8752496640283,32.88819183966645,130.86674987683804,32.89780801219808
8.173,8.0,32.901,130.86,21.849,233.287,67.926,0.0,0.0,0.0,-17.587,-10.4,4.26,3.54,1.0,28.0,433.0,130.83750011630715,32.894325175117494,130.87400358400762,32.917288151359244,130.88250216185833,32.90767200932286,130.84600263877218,32.88470899771153,130.8642500459812,32.89619184580495,130.85574949470347,32.90580800601514
6.91,8.0,32.825,130.893,1.703,236.356,66.085,-137.538,2.756e+18,6.978,-13.173,11.178,4.24,3.73,1.0,29.0,449.0,130.86967928490932,32.82008287555979,130.90737803188486,32.84126466808111,130.91632222250647,32.82991412289262,130.87862827001155,32.808732291907056,130.89747301008677,32.819324634982316,130.88852642096893,32.83067520001816
6.071,8.0,32.834,130.881,4.701,234.777,63.126,-135.276,2.633e+18,5.374,-13.213,7.466,4.24,3.93,1.0,30.0,465.0,130.85703161256475,32.82951599832091,130.89402881017955,32.851566744683076,130.9049694436493,32.83848102574014,130.86797767241586,32.81643023320788,130.88647127277525,32.82745700562247,130.87552792463512,32.84054274833379
5.501,8.0,32.846,130.867,8.717,232.904,68.376,-124.408,1.287e+18,2.632,-13.261,3.647,4.24,3.93,1.0,31.0,481.0,130.84427257055358,32.83967681113535,130.8804005819262,32.862736539703356,130.88972944561277,32.85232040136689,130.85360565413282,32.82926063435887,130.87166521492864,32.84079183182467,130.86233424009242,32.85120798990005
5.323,8.0,32.855,130.856,12.0,231.346,69.487,-117.598,6.623e+17,1.376,-13.308,0.0,4.24,3.51,1.0,32.0,497.0,130.8342109172321,32.847389044931816,130.86958601111255,32.87126933844401,130.87779170375595,32.86260831117912,130.84242004681613,32.83872798456194,130.8601035067026,32.85066940908974,130.85189609457396,32.85933045332096
